,Company_Name,ISIN,segment1,Type_Issue1,Sector,Total_No_Securities,Fresh_No_Securities,OFS_No_Securities,Issue_Open_Date,Issue_Close_Date,Times_subscribed,Face_Value,Premimum,Issue_Price,Issue_Size,Listing_Date,Anchor,QIB,Final_QIB,NII,RII,Market_Maker,Shareholder,Employee,Policy_Holders,Underwriter,Promoters_Contribution,Reservation_Portion,Net offer to public,State,Region,6(1) / (2),Industry,Segment,state_code,State1,Region1,Exchange,Designated_Exchange,Issue_Size_Bucket
100,Suditi Industries Ltd.,,Main Board,Right,Private,8813168,8813168,0.0,2022-09-15,2022-09-21,0,10.0,20.0,30.0,26.44,2022-10-04,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,maharashtra,Western,,Misc,,mah,Maharashtra,Western,BSE,BSE,≥ 10crore - < 50crore
101,7NR Retail Limited,,Main Board,Right,Private,116695000,116695000,0.0,2022-09-06,2022-09-23,0,1.0,0.3999999999999999,1.4,16.33,2022-10-04,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,gujarat,Western,,Misc,,guj,Gujarat,Western,BSE,BSE,≥ 10crore - < 50crore
102,MAFIA TRENDS LIMITED,,SME,IPO,Private,1284000,1284000,0.0,2022-09-22,2022-09-27,7.12,10.0,18.0,28.0,3.6,2022-10-06,0,0.0,0,480000,736000,68000,0.0,0.0,0.0,0.0,0,68000,1216000,gujarat,Western,,Misc,,guj,Gujarat,Western,BSE,BSE,< 5 crore
103,Tembo Global Industries Limited,,Main Board,Right,Private,3616560,3616560,0.0,2022-08-22,2022-09-05,0,10.0,90.0,100.0,36.17,2022-10-07,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,maharastra,Western,,Misc,,mah,Maharashtra,Western,NSE,NSE,≥ 10crore - < 50crore
104,Cargosol Logistics Limited,,SME,IPO,Private,2700000,2700000,0.0,2022-09-28,2022-09-30,55.05,10.0,18.0,28.0,7.56,2022-10-10,0,0.0,0,1280000,1280000,140000,0.0,0.0,0.0,0.0,0,140000,2560000,maharashtra,Western,,Misc,,mah,Maharashtra,Western,BSE,BSE,≥ 5crore - < 10crore
105,Cargotrans Maritime Limited,,SME,IPO,Private,1080000,1080000,0.0,2022-09-27,2022-09-29,148.55,10.0,35.0,45.0,4.86,2022-10-10,0,0.0,0,444000,576000,60000,0.0,0.0,0.0,0.0,0,60000,1020000,gujarat,Western,,Misc,,guj,Gujarat,Western,BSE,BSE,< 5 crore
106,Concord Control Systems Limited,,SME,IPO,Private,1512000,1512000,0.0,2022-09-27,2022-09-29,304.66,10.0,45.0,55.0,8.32,2022-10-10,428000,288000.0,716000,216000,502000,78000,0.0,0.0,0.0,0.0,0,78000,1434000,uttar pradesh,Northern,,Electronic Equipments/ Products,,utt,Uttar Pradesh,Northern,BSE,BSE,≥ 5crore - < 10crore
107,Concord Control Systems Limited,,SME,IPO,Private,1512000,1512000,0.0,2022-09-27,2022-09-29,304.66,10.0,45.0,55.0,8.32,2022-10-10,428000,288000.0,716000,216000,502000,78000,0.0,0.0,0.0,0.0,0,78000,1434000,uttar pradesh,Northern,,Electronic Equipments/ Products,,utt,Uttarakhand,Northern,BSE,BSE,≥ 5crore - < 10crore
108,INSOLATION ENERGY LIMITED,,SME,IPO,Private,5832000,5832000,0.0,2022-09-26,2022-09-29,198.75,10.0,28.0,38.0,22.16,2022-10-10,0,0.0,0,2769000,2769000,294000,0.0,0.0,0.0,0.0,0,294000,5538000,rajasthan,Western,,Electronic Equipments/ Products,,raj,Rajasthan,Western,BSE,BSE,≥ 10crore - < 50crore
109,REETECH INTERNATIONAL CARGO AND COURIER LIMITED,,SME,IPO,Private,1114800,1114800,0.0,2022-09-27,2022-09-29,2.03,10.0,95.0,105.0,11.71,2022-10-10,0,0.0,0,308400,750000,56400,0.0,0.0,0.0,0.0,0,56400,1058400,chhattisgarh,Central,,Misc,,chh,Chhattisgarh,Central,BSE,BSE,≥ 10crore - < 50crore
110,SILICON RENTAL SOLUTIONS LIMITED,,SME,IPO,Private,2712000,2712000,0.0,2022-09-28,2022-09-30,3.11,10.0,68.0,78.0,21.15,2022-10-10,0,0.0,0,1254400,1321600,136000,0.0,0.0,0.0,0.0,0,136000,2576000,maharashtra,Western,,Misc,,mah,Maharashtra,Western,BSE,BSE,≥ 10crore - < 50crore
111,STEELMAN TELECOM LIMITED,,SME,IPO,Private,2710800,1897200,813600.0,2022-09-26,2022-09-29,21.87,10.0,86.0,96.0,26.02,2022-10-10,0,0.0,0,1287600,1287600,135600,0.0,0.0,0.0,0.0,0,135600,2575200,west bengal,Eastern,,Telecom,,wes,West Bengal,Eastern,BSE,BSE,≥ 10crore - < 50crore
112,Trident Lifeline Limited,,SME,IPO,Private,3499200,3499200,0.0,2022-09-26,2022-09-29,1.43,10.0,91.0,101.0,35.34,2022-10-10,0,0.0,0,1784400,1539600,175200,0.0,0.0,0.0,0.0,0,175200,3324000,gujarat,Western,,Healthcare,,guj,Gujarat,Western,BSE,BSE,≥ 10crore - < 50crore
113,Cyber Media Research & Services Limited,,SME,IPO,Private,780000,408000,372000.0,2022-09-27,2022-09-29,30.88,10.0,170.0,180.0,14.04,2022-10-10,220800,148800.0,369600,111200,260000,39200,0.0,0.0,0.0,0.0,0,39200,740800,delhi,Northern,,Info Tech,,del,Delhi,Northern,NSE,NSE,≥ 10crore - < 50crore
114,Lloyds Luxuries Limited,,SME,IPO,Private,6000000,6000000,0.0,2022-09-28,2022-09-30,6.582,10.0,30.0,40.0,24.0,2022-10-11,0,0.0,0,2850000,2850000,300000,0.0,0.0,0.0,0.0,0,300000,5700000,maharashtra,Western,,Misc,,mah,Maharashtra,Western,NSE,NSE,≥ 10crore - < 50crore
115,QMS Medical Allied Services Limited,,SME,IPO,Private,4700000,2800000,1900000.0,2022-09-27,2022-09-30,1,10.0,111.0,121.0,56.87,2022-10-11,0,0.0,0,2547000,1108000,236000,0.0,0.0,0.0,809000.0,0,1045000,3655000,maharashtra,Western,,Healthcare,,mah,Maharashtra,Western,NSE,NSE,≥ 50 crore - < 100crore
116,VEDANT ASSET LIMITED,,SME,IPO,Private,750000,750000,0.0,2022-09-30,2022-10-04,53,10.0,30.0,40.0,3.0,2022-10-12,0,0.0,0,306000,402000,42000,0.0,0.0,0.0,0.0,0,42000,708000,jharkhand,Central,,Misc,,jha,Jharkhand,Eastern,BSE,BSE,< 5 crore
117,Swastik Pipe Limited,,SME,IPO,Private,6252000,6252000,0.0,2022-09-29,2022-10-03,1.47,10.0,90.0,100.0,62.52,2022-10-12,0,0.0,0,2832000,3105600,314400,0.0,0.0,0.0,0.0,0,314400,5937600,delhi,Northern,,Misc,,del,Delhi,Northern,NSE,NSE,≥ 50 crore - < 100crore
118,MAAGH ADVERTISING AND MARKETING SERVICES LIMITED,,SME,IPO,Private,1520000,1520000,0.0,2022-09-26,2022-09-29,1.58,10.0,50.0,60.0,9.12,2022-10-13,0,0.0,0,1228000,216000,76000,0.0,0.0,0.0,0.0,0,76000,1444000,maharashtra,Western,,Misc,,mah,Maharashtra,Western,BSE,BSE,≥ 5crore - < 10crore
119,Frog Cellsat Limited,,SME,IPO,Private,4075200,4075200,0.0,2022-09-29,2022-10-04,21.58,10.0,92.0,102.0,41.57,2022-10-13,1159200,775200.0,1934400,580800,1356000,204000,0.0,0.0,0.0,0.0,0,204000,3871200,delhi,Northern,,Misc,,del,Delhi,Northern,NSE,NSE,≥ 10crore - < 50crore
120,Electronics Mart India Limited,,Main Board,IPO,Private,84745762,84745762,0.0,2022-10-04,2022-10-07,78.22,10.0,49.0,59.0,500.0,2022-10-17,25423728,16949152.0,42372880,12711865,29661017,0,0.0,0.0,0.0,0.0,0,0,84745762,telangana,Southern,6(1),Misc,,tel,Telangana,Southern,NSE/BSE,NSE,≥ 500crore
121,Coastal Corporation Limited,,Main Board,Right,Private,1929800,1929800,0.0,2022-09-12,2022-09-27,0,10.0,215.0,225.0,43.4205,2022-10-18,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,andhra pradesh,Southern,,Misc,,and,Andhra Pradesh,Southern,BSE/NSE,BSE,≥ 10crore - < 50crore
122,Coastal Corporation Limited,,Main Board,Right,Private,1929800,1929800,0.0,2022-09-12,2022-09-27,0,10.0,215.0,225.0,43.4205,2022-10-18,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,andhra pradesh,Southern,,Misc,,and,Andaman and Nicobar Islands,Bay of Bengal,BSE/NSE,BSE,≥ 10crore - < 50crore
123,PACE E-COMMERCE VENTURES LIMITED,,SME,IPO,Private,6459600,4000000,2459600.0,2022-09-29,2022-10-04,1.32,10.0,93.0,103.0,66.53,2022-10-20,0,0.0,0,4506000,1621200,332400,0.0,0.0,0.0,0.0,0,332400,6127200,maharashtra,Western,,Misc,,mah,Maharashtra,Western,BSE,BSE,≥ 50 crore - < 100crore
